"자치구별(1)","자치구별(2)",판매소별(1),판매소별(2),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"합계","소계",합계,소계,1005,955,920,853,816,774,751,721,697,679,637
"합계","소계",합계,주유소,663,641,621,596,568,552,538,524,505,499,468
"합계","소계",합계,용제판매소,66,56,51,37,39,33,30,26,24,24,19
"합계","소계",합계,일반판매소,270,252,242,214,204,183,176,163,158,146,137
"합계","소계",합계,항공유판매업,6,6,6,6,5,6,7,8,10,10,13
"합계","종로구",합계,소계,21,17,17,16,15,16,15,16,16,15,15
"합계","종로구",합계,주유소,11,9,9,9,9,9,9,9,9,9,9
"합계","종로구",합계,용제판매소,1,-,-,1,1,1,1,1,1,-,-
"합계","종로구",합계,일반판매소,9,8,8,6,5,5,4,4,4,4,4
"합계","종로구",합계,항공유판매업,-,-,-,-,-,1,1,2,2,2,2
"합계","중구",합계,소계,30,27,27,25,25,25,24,24,23,20,17
"합계","중구",합계,주유소,15,13,13,12,12,12,12,12,12,11,10
"합계","중구",합계,용제판매소,3,2,2,1,1,1,1,1,1,1,1
"합계","중구",합계,일반판매소,12,12,12,12,12,12,11,11,10,8,6
"합계","중구",합계,항공유판매업,-,-,-,-,-,-,-,-,-,-,-
"합계","용산구",합계,소계,34,33,29,28,26,26,25,24,23,21,20
"합계","용산구",합계,주유소,21,21,19,18,16,16,16,15,15,14,13
"합계","용산구",합계,용제판매소,2,2,-,-,-,-,-,-,-,-,-
"합계","용산구",합계,일반판매소,11,10,10,10,10,10,9,9,8,7,7
"합계","용산구",합계,항공유판매업,-,-,-,-,-,-,-,-,-,-,-
"합계","성동구",합계,소계,42,39,38,37,34,33,30,30,29,29,27
"합계","성동구",합계,주유소,24,22,21,20,19,19,18,18,17,17,17
"합계","성동구",합계,용제판매소,2,2,2,2,2,2,1,1,1,1,1
"합계","성동구",합계,일반판매소,16,15,15,15,13,12,11,11,11,11,9
"합계","성동구",합계,항공유판매업,-,-,-,-,-,-,-,-,-,-,-
"합계","광진구",합계,소계,32,31,28,20,25,20,23,23,22,21,19
"합계","광진구",합계,주유소,23,23,21,20,20,20,18,18,17,17,15
"합계","광진구",합계,용제판매소,-,-,-,-,-,-,-,-,-,-,-
"합계","광진구",합계,일반판매소,9,8,7,-,5,-,5,5,5,4,4
"합계","광진구",합계,항공유판매업,-,-,-,-,-,-,-,-,-,-,-
"합계","동대문구",합계,소계,41,40,39,38,37,36,36,36,35,34,31
"합계","동대문구",합계,주유소,25,24,23,22,22,22,22,22,22,22,19
"합계","동대문구",합계,용제판매소,-,-,-,-,-,-,-,-,-,-,-
"합계","동대문구",합계,일반판매소,16,16,16,16,15,14,14,14,13,12,12
"합계","동대문구",합계,항공유판매업,-,-,-,-,-,-,-,-,-,-,-
"합계","중랑구",합계,소계,37,35,34,32,31,29,28,27,25,25,23
"합계","중랑구",합계,주유소,24,22,21,20,20,19,18,18,16,16,14
"합계","중랑구",합계,용제판매소,2,2,2,2,2,1,1,1,1,1,1
"합계","중랑구",합계,일반판매소,11,11,11,10,9,9,9,8,8,8,8
"합계","중랑구",합계,항공유판매업,-,-,-,-,-,-,-,-,-,-,-
"합계","성북구",합계,소계,51,48,47,45,42,40,37,35,35,35,35
"합계","성북구",합계,주유소,32,30,29,28,27,27,24,24,24,24,24
"합계","성북구",합계,용제판매소,1,1,1,-,-,-,-,-,-,-,-
"합계","성북구",합계,일반판매소,18,17,17,17,15,13,13,11,11,11,11
"합계","성북구",합계,항공유판매업,-,-,-,-,-,-,-,-,-,-,-
"합계","강북구",합계,소계,30,29,27,26,23,21,20,18,18,18,18
"합계","강북구",합계,주유소,20,20,19,18,15,14,13,13,13,13,13
"합계","강북구",합계,용제판매소,-,-,-,-,-,-,-,-,-,-,-
"합계","강북구",합계,일반판매소,10,9,8,8,8,7,7,5,5,5,5
"합계","강북구",합계,항공유판매업,-,-,-,-,-,-,-,-,-,-,-
"합계","도봉구",합계,소계,33,32,31,26,24,24,24,23,23,22,22
"합계","도봉구",합계,주유소,24,24,24,22,20,20,20,19,19,18,18
"합계","도봉구",합계,용제판매소,1,1,1,-,-,-,-,-,-,-,-
"합계","도봉구",합계,일반판매소,8,7,6,4,4,4,4,4,4,4,4
"합계","도봉구",합계,항공유판매업,-,-,-,-,-,-,-,-,-,-,-
"합계","노원구",합계,소계,25,23,22,21,20,19,18,17,17,17,17
"합계","노원구",합계,주유소,17,17,17,16,16,16,16,15,15,15,15
"합계","노원구",합계,용제판매소,-,-,-,-,-,-,-,-,-,-,-
"합계","노원구",합계,일반판매소,8,6,5,5,4,3,2,2,2,2,2
"합계","노원구",합계,항공유판매업,-,-,-,-,-,-,-,-,-,-,-
"합계","은평구",합계,소계,41,40,38,36,29,27,27,23,23,22,22
"합계","은평구",합계,주유소,31,30,29,28,22,20,20,18,18,17,17
"합계","은평구",합계,용제판매소,-,-,-,-,-,-,-,-,-,-,-
"합계","은평구",합계,일반판매소,10,10,9,8,7,7,7,5,5,5,5
"합계","은평구",합계,항공유판매업,-,-,-,-,-,-,-,-,-,-,-
"합계","서대문구",합계,소계,27,27,28,27,24,23,22,21,20,20,20
"합계","서대문구",합계,주유소,19,19,20,20,18,18,17,16,15,15,15
"합계","서대문구",합계,용제판매소,2,2,2,2,1,1,1,1,1,1,1
"합계","서대문구",합계,일반판매소,6,6,6,5,5,4,4,4,4,4,4
"합계","서대문구",합계,항공유판매업,-,-,-,-,-,-,-,-,-,-,-
"합계","마포구",합계,소계,33,27,27,24,22,22,22,21,19,19,17
"합계","마포구",합계,주유소,19,17,17,15,14,14,14,14,13,13,12
"합계","마포구",합계,용제판매소,5,4,4,3,2,2,2,2,2,2,1
"합계","마포구",합계,일반판매소,9,6,6,6,6,6,6,5,4,4,4
"합계","마포구",합계,항공유판매업,-,-,-,-,-,-,-,-,-,-,-
"합계","양천구",합계,소계,44,42,40,37,36,35,35,34,34,33,30
"합계","양천구",합계,주유소,32,32,30,28,27,26,26,26,26,26,25
"합계","양천구",합계,용제판매소,2,1,1,-,-,-,-,-,-,-,-
"합계","양천구",합계,일반판매소,10,9,9,9,9,9,9,8,8,7,5
"합계","양천구",합계,항공유판매업,-,-,-,-,-,-,-,-,-,-,-
"합계","강서구",합계,소계,48,47,47,45,45,43,44,43,44,43,43
"합계","강서구",합계,주유소,34,34,34,35,36,36,36,35,34,33,32
"합계","강서구",합계,용제판매소,-,-,-,-,-,-,-,-,-,-,-
"합계","강서구",합계,일반판매소,9,8,8,5,4,2,2,2,2,2,2
"합계","강서구",합계,항공유판매업,5,5,5,5,5,5,6,6,8,8,9
"합계","구로구",합계,소계,48,47,45,37,43,41,38,37,37,37,34
"합계","구로구",합계,주유소,25,25,25,24,23,23,22,22,22,22,21
"합계","구로구",합계,용제판매소,8,7,7,-,7,7,7,7,7,7,4
"합계","구로구",합계,일반판매소,15,15,13,13,13,11,9,8,8,8,9
"합계","구로구",합계,항공유판매업,-,-,-,-,-,-,-,-,-,-,-
"합계","금천구",합계,소계,29,29,28,25,24,18,18,17,17,17,17
"합계","금천구",합계,주유소,19,19,19,18,18,14,14,13,13,13,12
"합계","금천구",합계,용제판매소,4,4,4,4,3,2,2,2,2,2,3
"합계","금천구",합계,일반판매소,6,6,5,3,3,2,2,2,2,2,2
"합계","금천구",합계,항공유판매업,-,-,-,-,-,-,-,-,-,-,-
"합계","영등포구",합계,소계,75,71,71,65,59,56,51,48,45,43,39
"합계","영등포구",합계,주유소,45,43,43,40,37,35,34,35,32,32,27
"합계","영등포구",합계,용제판매소,11,10,10,8,8,7,4,3,3,3,3
"합계","영등포구",합계,일반판매소,19,18,18,17,14,14,13,10,10,8,8
