연월별,시군구별,연료별,용도별,승    용,승    합,화    물,특    수,계
2017-12-31,종로구,전기,비사업용,73,0,2,0,75
2017-12-31,중 구,전기,비사업용,106,1,2,0,109
2017-12-31,중 구,전기,사업용,1,0,0,0,1
2017-12-31,용산구,전기,비사업용,67,0,0,0,67
2017-12-31,성동구,전기,비사업용,85,0,1,0,86
2017-12-31,성동구,전기,사업용,109,0,0,0,109
2017-12-31,광진구,전기,비사업용,43,0,0,0,43
2017-12-31,광진구,전기,사업용,1,0,0,0,1
2017-12-31,동대문구,전기,비사업용,45,0,1,0,46
2017-12-31,동대문구,전기,사업용,3,0,0,0,3
2017-12-31,중랑구,전기,비사업용,38,0,0,0,38
2017-12-31,중랑구,전기,사업용,2,0,0,0,2
2017-12-31,성북구,전기,비사업용,64,0,0,0,64
2017-12-31,강북구,전기,비사업용,24,0,0,0,24
2017-12-31,강북구,전기,사업용,3,0,0,0,3
2017-12-31,도봉구,전기,비사업용,43,0,0,0,43
2017-12-31,도봉구,전기,사업용,4,0,0,0,4
2017-12-31,노원구,전기,비사업용,79,1,0,0,80
2017-12-31,노원구,전기,사업용,3,0,0,0,3
2017-12-31,은평구,전기,비사업용,68,0,0,1,69
2017-12-31,은평구,전기,사업용,4,0,0,0,4
2017-12-31,서대문구,전기,비사업용,41,0,0,0,41
2017-12-31,마포구,전기,비사업용,88,0,0,0,88
2017-12-31,마포구,전기,사업용,122,0,0,0,122
2017-12-31,양천구,전기,비사업용,78,0,1,0,79
2017-12-31,양천구,전기,사업용,14,0,0,0,14
2017-12-31,강서구,전기,비사업용,88,0,1,0,89
2017-12-31,강서구,전기,사업용,43,0,0,0,43
2017-12-31,구로구,전기,비사업용,65,0,0,0,65
2017-12-31,금천구,전기,비사업용,35,0,3,0,38
2017-12-31,금천구,전기,사업용,59,0,0,0,59
2017-12-31,영등포구,전기,비사업용,174,0,0,0,174
2017-12-31,영등포구,전기,사업용,105,0,0,0,105
2017-12-31,동작구,전기,비사업용,70,0,2,0,72
2017-12-31,동작구,전기,사업용,1,0,0,0,1
2017-12-31,관악구,전기,비사업용,45,0,0,0,45
2017-12-31,서초구,전기,비사업용,303,0,0,0,303
2017-12-31,서초구,전기,사업용,5,0,0,0,5
2017-12-31,강남구,전기,비사업용,190,0,0,0,190
