구분,정유사,상호,주소,주유기수,전화번호,셀프주유,세차장,등록일자,위도,경도,행정동
주유소,GS,동일주유소,서울시 성북구 보문로 85,8,02-923-4949,,유,1976-04-30,37.58295759,127.0203742,보문동
주유소,HD,현대오일뱅크(주)직영 아리랑주유소,서울시 성북구 아리랑로 96,4,02-941-5189,,유,1976-04-30,37.60053504,127.0142141,정릉1동
주유소,S-oil,장위주유소,서울시 성북구 화랑로 110,4,02-6498-5189,가능,유,1976-05-07,37.60346513,127.0434457,월곡2동
주유소,GS,지에스칼텍스(주) 세창주유소,서울시 성북구 동소문로 323,3,02-988-2491,가능,,1976-05-10,37.60880691,127.0294733,길음2동
주유소,GS,지에스칼텍스(주) 종암주유소,서울시 성북구 종암로 145,4,02-921-7785,가능,유,1976-05-19,37.60278402,127.0320483,종암동
주유소,HD,현대오일뱅크(주)직영 광덕셀프주유소,서울시 성북구 보문로 89,4,02-909-0314,가능,유,1976-05-26,37.58311622,127.0200436,보문동
주유소,SK,(주)중앙에너비스 종암지점,서울시 성북구 종암로 58,5,02-912-6531,가능,유,1976-05-27,37.59553169,127.0360628,종암동
주유소,HD,현대오일뱅크(주)직영고대셀프주유소,서울시 성북구 종암로 12,4,02-912-5151,가능,유,1983-12-10,37.59144099,127.0366994,종암동
주유소,HD,㈜이케이에너지(주) 강산제2주유소,서울시 성북구 보국문로 52,7,02-914-1448,가능,유,1987-01-14,37.60917776,127.0101204,정릉4동
주유소,GS,㈜삼표에너지 정릉주유소,서울시 성북구 보국문로 35,5,02-914-6556,가능,유,1988-03-16,37.60761726,127.0099753,정릉2동
주유소,SK,SK에너지(주)드림랜드주유소,서울시 성북구월계로 128,4,02-916-9906,,,1986-07-31,37.6165302,127.0414327,장위1동
주유소,GS,지에스칼텍스(주)화랑주유소,서울시 성북구 화랑로 185,5,02-942-5152,,,1991-07-10,37.60786986,127.0507418,월곡2동
주유소,S-oil,㈜오만불 신동방주유소,서울시 성북구 월계로 84,5,02-918-5151,,,1992-04-07,37.6134031,127.0380557,장위1동
주유소,알뜰,원천주유소,서울시 성북구 돌곶이로 142,4,02-943-1051,,유,1992-04-29,37.61495795,127.0527672,장위2동
주유소,S-oil,삼선주유소,서울시 성북구 창경궁로 324,6,02-766-5106,,유,1993-07-12,37.58798675,127.0055434,삼선동
주유소,HD,㈜재건에너지재정제2주유소(길음지점),서울시 성북구 삼양로 78,6,02-980-1312,,,1993-08-20,37.61030044,127.022751,길음2동
주유소,S-oil,신방주유소,서울시 성북구 안암로 111,2,02-922-5151,,,1993-11-03,37.58557153,127.0318598,안암동
주유소,SK,우리주유소,서울시 성북구 화랑로 292,5,02-969-5185,가능,유,1993-12-17,37.61261481,127.0614005,석관동
주유소,HD,현대오일뱅크(주)직영 장삼주유소,"서울시 성북구 한천로 612, 화랑로 293",7,02-909-0314,가능,유,1993-12-29,37.61363894,127.0602189,장위3동
주유소,GS,이케이에너지 주식회사,서울시 성북구 보문로 27,7,02-953-1448,가능,유,1994-06-09,37.57794762,127.0228,보문동
주유소,HD,(주)성북주유소,서울시 성북구 보문로 142,5,02-928-4900,가능,유,1996-08-21,37.58767191,127.0183918,보문동
주유소,S-oil,㈜신용구도일주유소 화랑로,서울시 성북구화랑로 174,4,02-964-0051,가능,유,1996-08-27,37.60690788,127.0500888,월곡2동
주유소,HD,현대오일뱅크(주)직영 북악셀프주유소,서울시 성북구 정릉로 218,3,02-911-5189,가능,유,1996-09-19,37.60542977,127.0085526,정릉2동
주유소,GS,㈜명연에너지 효성주유소,서울시 성북구 화랑로 27,6,02-942-5150,가능,유,2007-07-05,37.60319033,127.0353281,월곡1동
